N?m sinh,Gi?i tính,Trình ?? h?c v?n,Tình tr?ng hôn nhân,Th?i gian s? d?ng Facebook m?i ngày,S? l??ng b?n bè trên Facebook,S? bài ??ng m?i ngày,Lo?i n?i dung yêu thích,S? thích cá nhân,M?c ?? th? hi?n c?m xúc trên Facebook,M?c ?? bình lu?n trên Facebook,T?n su?t mua s?m trên Facebook
1993,Female,High School,Single,5 hours,1200,5,Text,"Music, Dance",60,30,Twice a week
1994,Male,Doctoral,Married,2 hours,500,1,Image,"Art, Literature",25,10,Once a month
1990,Female,Bachelor's,Single,3.5 hours,800,4,Video,"Technology, Science",50,20,Once every two weeks
1998,Male,Unknown,In a Relationship,4 hours,700,3,Text,"Business, Finance",35,25,Once a week
1991,Female,Master's,Married,2.5 hours,600,2,Image,"Travel, Photography",45,20,Once a month
1994,Male,High School,Single,3 hours,500,1,Video,"Music, Dance",70,30,Once a week
1996,Female,Bachelor's,Married,4.5 hours,900,4,Text,"Art, Literature",55,25,Twice a week
1995,Male,Master's,Single,2 hours,700,2,Image,"Gaming, Anime",20,10,Once a month
1997,Female,High School,Married,3 hours,600,2,Video,"Social Media, Travel",50,25,Once a week
1993,Male,Unknown,Single,1.5 hours,300,1,Text,"Science, History",30,15,Once every two weeks
1995,Female,Bachelor's,Married,2.5 hours,300,2,Video,"Music, Movies, Travel",52,20,Once per month
1990,Male,Doctoral,Divorced,1 hour,50,0,Text,"Politics, Current Events",5,2,Once per quarter
1997,Female,Master's,Single,3 hours,700,5,Image,"Makeup, Social Media",73,30,Daily
2000,Male,High School,In a Relationship,4 hours,1100,6,Video,"Gaming, Comedy,  Sports",60,25,3 times per week
1992,Female,Unknown,Married,2 hours,200,2,Text,"DIY, Cooking, Gardening, Painting",28,12,Once every two months
1993,Male,Master's,Single,1.5 hours,400,3,Image,"Technology, Business, Finance",15,6,Once per month
1996,Female,High School,Divorced,5.5 hours,1300,8,Video,"Travel, Outdoor, Adventure, Social Media",80,35,Daily
1998,Male,Bachelor's,In a Relationship,2 hours,500,2,Text,"Poetry, Drawing, Painting",44,18,2 times per week
1990,Female,Doctoral,Married,3.5 hours,600,4,Image,"Science, History, Literature",37,15,Once every three months
2001,Male,High School,Single,5 hours,1000,5,Video,"Music, K-pop, Dance, Social Media",70,29,Daily
1994,Female,Bachelor's,Single,3 hours,400,3,Image,"Travel, Music, Fashion",54,22,Once per month
1991,Male,Master's,Married,1.5 hours,150,1,Text,"Science, Technology, DIY",20,8,Once every two months
1998,Female,High School,In a Relationship,4 hours,900,5,Video,"K-pop, Dance, Social Media",67,30,Daily
1992,Male,Doctoral,Divorced,2 hours,200,2,Text,"Business, Finance, Politics",25,10,Once per quarter
1999,Female,Unknown,Single,5 hours,1200,6,Video,"Social Media, Travel",75,35,Daily
1996,Male,Bachelor's,In a Relationship,3 hours,350,3,Image,"Photography, Cooking, Fashion",40,18,Once per month
2002,Female,High School,Single,5.5 hours,1500,8,Video,"Music, Movies, Memes",90,40,Daily
1989,Male,Master's,Married,1.5 hours,100,0,Text,"Gardening, Cooking",12,5,Once per quarter
1995,Female,Doctoral,In a Relationship,2.5 hours,500,2,Image,"Art, Literature, Poetry",37,15,Once every two months
1993,Male,High School,Single,4 hours,800,4,Video,"Gaming, Sports, Adventure",60,25,3 times per week
2001,Female,Bachelor's,Single,3.5 hours,600,3,Image,"Fashion, Travel, Photography",55,24,Daily
1997,Male,Master's,Married,2 hours,150,1,Text,"History, Science, Technology",18,7,Once per quarter
1994,Female,Bachelor's,In a Relationship,4.5 hours,950,5,Video,"Music, Comedy, Social Media",70,30,3 times per week
1997,Male,High School,Single,5 hours,1100,6,Video,"Gaming, Anime, Memes",85,35,Daily
2000,Female,Master's,In a Relationship,2.5 hours,400,2,Text,"Art, Literature, Painting",45,20,Once per month
1996,Male,Bachelor's,Divorced,3 hours,600,4,Image,"Business, Finance, Cooking",38,16,Once every two months
1999,Female,High School,Single,4 hours,800,4,Video,"Social Media, Travel, Music",68,28,3 times per week
1992,Male,Master's,Married,1.5 hours,200,1,Text,"Technology, DIY, Adventure",22,9,Once per quarter
1995,Female,Bachelor's,In a Relationship,2.5 hours,500,3,Image,"Photography, Fashion, Fitness",50,20,Once per month
2001,Male,High School,Single,4 hours,1000,5,Video,"K-pop, Dance, Music",72,30,Daily
1990,Female,Master's,Married,2 hours,300,2,Text,"History, Science, Literature",32,14,Once per quarter
1998,Male,Bachelor's,In a Relationship,3 hours,700,3,Image,"Cooking, Baking, Gardening",48,20,Once per month
1994,Female,High School,Single,4.5 hours,900,4,Video,"Travel, Social Media, Fashion",62,25,3 times per week
2000,Male,Master's,Single,2 hours,350,2,Text,"Business, Finance, Technology",35,12,Once every two months
1996,Female,Bachelor's,In a Relationship,3.5 hours,700,4,Image,"Photography, Art",55,22,Once per month
1990,Male,Doctoral,Married,1.5 hours,150,1,Text,"Science, Current Events",10,5,Once per quarter
1997,Female,High School,Single,5 hours,1000,5,Video,"Music,  Social Media",77,32,Daily
2002,Male,Bachelor's,In a Relationship,3 hours,500,3,Image,"Gaming, Memes",63,28,3 times per week
